총 5017
  271 야겠어
  223 선택지
  168 한다
  120 보세요
  111 보자
  105 답니다
   91 단하라
   90 었어요
   88 하는가
   84 있다
   82 이에요
   80 없다
   73 있어요
   72 겠는가
   69 했어요
   65 맞아요
   47 것이다
   45 된다
   42 않는다
   42 할까요
   38 았어요
   37 습니다
   32 입니다
   30 왼쪽
   30 갈까요
   28 오른쪽
   26 일까요
   25 그렇다
   23 이지요
   22 랍니다
   21 었지요
   19 되었다
   18 졌어요
   17 단이다
   17 을까요
   17 해요
   16 왔어요
   16 이었다
   16 오른다
   16 보라
   15 거예요
   15 못한다
   14 해진다
   14 됐어요
   14 겼어요
   14 냈어요
   14 준다
   13 선다
   13 갔어요
   13 있었다
   13 더군요
   13 했지요
   12 쓰세요
   12 단계
   12 지역
   12 커와도
   12 퀘스트
   12 어진다
   12 사람들
   12 배치
   12 않았다
   12 않아요
   12 간다
   12 들린다
   11 인이다
   11 람이다
   11 택이다
   11 왔다
   11 것인가
   10 이구나
